AuthName,ID,ArtTitle,PubDate,Source,Service,AuthSex,AuthRank,Warfighting_Ops,TroopSpt_Culture,Strat_Advice,MilPolicy_Social,Domestic_Policy,Admin_Fig_Name,Thesis,Result,Justification,Details
"Alison, John",1,Distinguished Service,1979-07-27,WaPO,Air Force,M,8,,1,,,,,"Gen. John Lavelle may have made mistakes, but these were in the interest of saving American lives in a hopeless war in which Americans were constrained by arbitrary rules while fighting an enemy that knew no rules.",,,
"Taylor, Maxwell",1,SALT II: The Numbers Fallacy,1979-08-17,WaPO,Army,M,10,,,1,,,,"Thus, it is clear that US forces, to match Soviet destructive capabilities, would need a considerable superiority in numbers of weapons to compensate for these disadvantages…accordingly, paristy based on numbers alone is revealed as a dangerous fallacy, one which entails serious consequences. ",,,
"Turner, Stansfield",1,Why Stop at a Triad?,1981-09-15,NYT,Navy,M,10,,,1,,,,"The argument that the United States must preserve its triad of strategic nuclear forces is bogus. It is bogus because it only concerns what weapons we possess, not what they must achieve. The real issues are, what is the objective of the triad, and does it take  a mix of three strategic weapons systems to achieve it?",,,
"Turner, Stansfield",1,The Zero Option,1981-12-02,NYT,Navy,M,10,,,1,,,,"In sum, President Reagan's proposal has merit but also risk. For it to work, we must hold to it and press our advantage no matter how loudly the Soviet Union screams or our allies urge compromise. ",,,
"Taylor, Maxwell",1,Make the Arms Fit the Task,1983-07-18,WaPO,Army,M,10,,,1,,,,"Having long and openly lamented the absence of a rational military policy, I am occasionally asked what such a policy would be like and what it might be expected to accomplish. The purpose of this article is to answer these questions. The dominant characteristic of the policy I have in mind is task orientation - that is, it would specify the strategic tasks that the Armed Forces should be able to perform and cause these forces to be designed accordingly. ",,,
"Rowny, Edward",1,Groundwork for Arms Progress,1984-02-02,NYT,Army,M,9,,,1,,,,"In sum, there has been real progress to date. Both sides have responded, in varying degrees, to the other's concerns. And we have offered to explore trading areas of respective interest and advantages to narrow our differences.",,,
"Lemnitzer, Lyman",1,Retain the Joint Chiefs,1984-06-19,NYT,Army,M,10,,,1,,,,"The existing system is sound. It would be a serious error to adopt proposed legislative changes in the presently assigned functions, duties, and responsibilities of the Joint Chiefs of Staff.",,,
"LaRocque, Gene",1,The Worrisome Prospect of an Invasion of Nicaragua,1984-11-23,NYT,Navy,M,7,1,,,,,,"President Reagan should take the long range view and not succumb to the lure of intervention, which would only add a new layer of violence and destruction to Central America. ",,,
"McFarlane, Robert",0,McFarlane on Why,1986-11-13,WaPO,Marine Corps,M,5,,,1,,,,"My point here is not to assert the China experience as a perfect analogue to recent efforts toward Iran. But the basic issue was the same. Nurturing a strategic reorientation in a country's policy requires discretion, judgement, and patience. And it is never risk free. ",,,
"Rowny, Edward",1,Build Up Regular Forces,1987-06-05,NYT,Army,M,9,,,1,,,,"In order to redress the imbalance of conventional forces, we must improve our own conventional force capabilities and work to eliminate the imbalance through negotiation. If we ""aim to parley,"" as Winston Churchill once advised, we could achieve both ends. ",,,
"McFarlane, Robert",0,Give Top Billing to Strategic Arms,1987-06-23,NYT,Marine Corps ,M,5,,,1,,,,The Russians read our headlines reporting Congressional misgivings over the defense budget. And while the Russians need a lot of Western help in the way of credits….surely we are not so naïve as to give them both the answers to their problems and cuts in our own defense budget without getting anything in return. ,,,
"Sick, Gary",1,Failure and Danger in the Gulf,1988-07-06,NYT,Navy,M,6,,,1,,,,"President Reagan has hurriedly proclaimed this incident [the shooting down of Iran Air Flight 655 by Americans] ""closed."" True, the historical tape cannot be replayed. The dead cannot be brought back to life. But the need to examine the underlying policy assumptions and practices that led to this disaster is more urgent than ever before. ",,,
"Haig, Alexander",1,Haunted by a Vienna Summit Meeting,1988-12-05,NYT,Army,M,10,,,1,,,,"The new administrationhas heavy work to do before it can begin to talk about major deals with the Soviet Union…In short, it needs to hammer out an allied consensus on the full range of East-West issues.",,,
"Haig, Alexander",1,An Alliance for All Europe,1990-01-18,NYT,Army,M,10,,,1,,,,"But there is another historic blunder to avoid: Above all, we must not become an idvertent accomplice in a Soviet attempt to divert Eastern Europe's march to democracy into the dead end of reform Communism.",,,
"Haig, Alexander",1,Gulf Analogy: Munich or Vietnam?,1990-12-10,NYT,Army,M,10,,,1,,,,"International conflicts attract historical analogies the way honey attracts bears, because the ""lessons learned"" from such analogies are supposed to help us avoid past mistakes. The Persian Gulf Crisis is no exception, and two analogies in particular - Munich and Vietnam - might have something to tell us. ",,,
